antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'CAMISETA BORDADA ALGODÃO MIC'}),frozenset({'SHORT ALGODÃO ELASTICO LISO MIC'}),0.04366987179487179,0.020833333333333332,0.010817307692307692,0.24770642201834864,11.889908256880735,1.0,0.009907518696581196,1.3015752032520327,0.9577185061056028,0.20149253731343286,0.2317001756783135,0.38346859562455893
frozenset({'SHORT ALGODÃO ELASTICO LISO MIC'}),frozenset({'CAMISETA BORDADA ALGODÃO MIC'}),0.020833333333333332,0.04366987179487179,0.010817307692307692,0.5192307692307693,11.889908256880735,1.0,0.009907518696581196,1.9891666666666667,0.9353821907013397,0.20149253731343286,0.4972769166317554,0.38346859562455893
frozenset({'CALCINHA ALGODÃO LISA LUZIANE'}),frozenset({'CALCINHA ESTAMPADA LUZIANE'}),0.041866987179487176,0.022235576923076924,0.011217948717948718,0.2679425837320574,12.050174576490367,1.0,0.010287012103981755,1.3356389831573656,0.9570838684627103,0.21212121212121215,0.2512946892010716,0.38622354411828097
frozenset({'CALCINHA ESTAMPADA LUZIANE'}),frozenset({'CALCINHA ALGODÃO LISA LUZIANE'}),0.022235576923076924,0.041866987179487176,0.011217948717948718,0.5045045045045045,12.050174576490365,1.0,0.010287012103981755,1.9336866258741257,0.9378676793397137,0.21212121212121215,0.48285312282803394,0.38622354411828097
frozenset({'CAMISETA BICHINHOS MIC MODA'}),frozenset({'CAMISETA BORDADA ALGODÃO MIC'}),0.014423076923076924,0.04366987179487179,0.005608974358974359,0.3888888888888889,8.90519877675841,1.0,0.004979120438856016,1.564903846153846,0.9006968641114983,0.10687022900763359,0.36098310291858676,0.258664627930683
frozenset({'REGATA CANELADA MANIA VISUAL LD CL KIDS'}),frozenset({'SHORT JUVENIL NACLEFS MODA FASHION'}),0.03265224358974359,0.02564102564102564,0.009014423076923076,0.2760736196319018,10.76687116564417,1.0,0.008177186061801445,1.3459365493263797,0.9377418835277604,0.18292682926829265,0.2570229254116887,0.3138180598159509
frozenset({'SHORT JUVENIL NACLEFS MODA FASHION'}),frozenset({'REGATA CANELADA MANIA VISUAL LD CL KIDS'}),0.02564102564102564,0.03265224358974359,0.009014423076923076,0.3515625,10.76687116564417,1.0,0.008177186061801445,1.491813407476058,0.9309941520467835,0.18292682926829265,0.3296748809277283,0.3138180598159509
frozenset({'SHORT MAURICINHO ITALICOMAR DE PRATA'}),frozenset({'CAMISA REGATA ITALICO'}),0.011818910256410256,0.018629807692307692,0.005208333333333333,0.4406779661016949,23.654455986878077,1.0,0.004988149308123767,1.7545709498834496,0.9691793104523695,0.20634920634920634,0.4300600952806003,0.36012392928740655
frozenset({'CAMISA REGATA ITALICO'}),frozenset({'SHORT MAURICINHO ITALICOMAR DE PRATA'}),0.018629807692307692,0.011818910256410256,0.005208333333333333,0.27956989247311825,23.654455986878073,1.0,0.004988149308123767,1.3716543484500574,0.9759056008290545,0.20634920634920634,0.27095335561033984,0.36012392928740655
frozenset({'BERMUDA TACTEL COM CORDAO MONTANHA RUSSA'}),frozenset({'REGATA MACHAO SERGIO MODAS'}),0.010416666666666666,0.035256410256410256,0.005208333333333333,0.5,14.181818181818182,1.0,0.00484107905982906,1.9294871794871795,0.9392712550607288,0.12871287128712872,0.48172757475083056,0.32386363636363635
frozenset({'CALCINHA TANGA FOFINHA SG KIDS'}),frozenset({'CALCINHA ALGODÃO LISA LUZIANE'}),0.023237179487179488,0.041866987179487176,0.007612179487179487,0.3275862068965517,7.824451410658307,1.0,0.006639308791502301,1.4249157626561473,0.8929450369155046,0.132404181184669,0.29820412812619407,0.25470219435736674
frozenset({'REGATA CANELADA MANIA VISUAL LD CL KIDS'}),frozenset({'SHORT ZAFIRINHA KIDS'}),0.03265224358974359,0.022435897435897436,0.010416666666666666,0.31901840490797545,14.219106047326905,1.0,0.00968408427843524,1.4355220605220604,0.9610526148111569,0.23318385650224213,0.3033893191189782,0.39165205959684485
frozenset({'SHORT ZAFIRINHA KIDS'}),frozenset({'REGATA CANELADA MANIA VISUAL LD CL KIDS'}),0.022435897435897436,0.03265224358974359,0.010416666666666666,0.46428571428571425,14.219106047326903,1.0,0.00968408427843524,1.8057158119658117,0.9510088272383355,0.23318385650224213,0.4462029997337514,0.39165205959684485
frozenset({'SHORT JUVENIL NACLEFS MODA FASHION'}),frozenset({'REGATA MALHA FRIA L&D'}),0.02564102564102564,0.019431089743589744,0.005208333333333333,0.203125,10.45360824742268,1.0,0.004710100262984878,1.230517848164907,0.9281376518218624,0.1306532663316583,0.1873340143003064,0.23558311855670103
frozenset({'REGATA MALHA FRIA L&D'}),frozenset({'SHORT JUVENIL NACLEFS MODA FASHION'}),0.019431089743589744,0.02564102564102564,0.005208333333333333,0.26804123711340205,10.45360824742268,1.0,0.004710100262984878,1.3311664860960635,0.9222597627092008,0.1306532663316583,0.24877916440586,0.23558311855670103
